5,0.0382,0.0877,0.1632,0.3291
10,0.0371,0.0831,0.1562,0.3172
15,0.038,0.0817,0.1521,0.3119
20,0.0379,0.0802,0.1517,0.3095
25,0.0374,0.0793,0.1499,0.3059
30,0.0372,0.0789,0.1481,0.0307
35,0.037,0.0788,0.1477,0.3075
40,0.037,0.0785,0.148,0.3053
45,0.0365,0.0789,0.1477,0.3054
50,0.0365,0.0784,0.148,0.3055
55,0.0364,0.0779,0.1477,0.3046
60,0.0364,0.0782,0.1475,0.3045
65,0.0362,0.0784,0.1481,0.3047
70,0.0365,0.0785,0.1481,0.3055
75,0.0366,0.0782,0.1475,0.305
80,0.0364,0.078,0.1477,0.304
85,0.0367,0.0779,0.1478,0.303
90,0.0366,0.0778,0.1476,0.303
95,0.0365,0.0777,0.1478,0.303
100,0.0365,0.0777,0.148,0.303
